,UMI,GENE,sample,methods,tissue
236,10424,4517,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
237,10622,4578,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
238,5498,3107,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
239,16825,5719,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
240,16388,5738,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
241,29384,7468,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
242,22740,6697,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
243,16481,5638,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
244,33551,7828,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
245,14515,5499,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
246,9652,4318,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
247,16410,5521,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
248,13242,5076,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
249,6167,3114,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
250,21498,6105,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
251,8306,3710,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
252,3205,1966,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
253,11919,4307,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
254,5719,2724,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
255,7341,3098,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
256,12969,4816,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
257,2991,1717,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
258,23148,6828,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
259,9038,4077,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
260,28604,7353,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
261,6322,3149,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
262,14978,5596,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
263,4816,2813,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
264,9525,4109,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
265,4592,2568,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
266,5576,2977,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
267,3236,2076,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
268,8881,3873,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
269,9493,4290,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
270,16064,5719,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
271,14006,5205,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
272,9701,4165,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
273,17967,5611,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
274,8083,3665,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
275,6506,3321,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
276,14404,5297,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
277,10851,4378,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
278,6562,3353,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
279,16978,5563,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
280,29936,7306,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
281,18028,5801,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
282,7715,3768,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
283,22823,6729,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
284,6558,3136,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
285,15046,5208,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
