,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020363,4.2605786,4.1775587631469335,4.5758278642192085,4.812738790396974
ENSMUSG00000020364,4.6534977,4.685139249686455,4.791637659792397,4.9862207113944725
ENSMUSG00000020366,6.8879905,7.002583053740469,7.211801834875666,7.28334870631753
ENSMUSG00000020368,8.171597,8.28818027618405,8.602422096958032,8.681539459103217
ENSMUSG00000020372,9.385645,9.360304930559328,9.466553092173283,9.515855503572187
ENSMUSG00000020374,5.434611,5.62278657100083,5.78932852823102,5.833830303252398
ENSMUSG00000020375,5.0621157,5.372231053646604,5.373705303803752,5.553765255542886
ENSMUSG00000020376,7.273203,7.429998288138469,7.591411825868418,7.789123733676154
ENSMUSG00000020377,3.8664513,3.7536195974376634,3.6622211045756994,3.6024658348883847
ENSMUSG00000020380,4.7897162,4.834848673467257,4.868480986273462,5.013370604084639
ENSMUSG00000020381,5.3264647,5.276168438730443,5.495112493338112,5.433796828790208
ENSMUSG00000020385,6.353667,6.3852057208007285,6.549200430178117,6.672643651322615
ENSMUSG00000020386,7.1958804,7.175380059145002,7.441349027504033,7.476153053415575
ENSMUSG00000020387,3.8753774,3.8714025337729945,3.866021487058365,4.020663285394802
ENSMUSG00000020388,5.2678823,5.157934816902131,5.158984527498928,5.302493281870621
ENSMUSG00000020389,5.4802117,5.487261638680474,5.552833130062137,5.563800003205551
ENSMUSG00000020390,7.8699427,7.89999932869801,8.039564707332051,8.08972905594417
ENSMUSG00000020392,7.139716,7.253139796542615,7.276199583090621,7.204845440380571
ENSMUSG00000020393,4.585239,4.80559146624907,5.13445413213659,5.306679295880993
ENSMUSG00000020396,3.5924532,3.542401234689146,3.788613725168741,4.022843586237762
ENSMUSG00000020397,5.829168,5.854532778748698,6.152370898566467,6.195902123001439
ENSMUSG00000020399,4.336379,4.92917014273409,4.676088966613469,4.744470542993813
ENSMUSG00000020400,5.050566,5.038642026710024,5.255322768780906,5.444370051404644
ENSMUSG00000020402,7.8148756,7.835242953753061,8.10113509018119,8.131877330212236
ENSMUSG00000020407,3.1043496,3.0208633871329,3.146765168930548,3.1343122884268197
ENSMUSG00000020409,5.6054897,5.709219024781086,5.889060539915234,6.002514869563551
ENSMUSG00000020412,6.0423,6.151072654763321,6.122882501940657,6.110288097556149
