ID,seq_id,type,angle-shun,center_col,center_row,col_x_1,row_y_1,angle_shun1,angle_shun2,col_x_2,row_y_2
Slide3-5,63,Slide,70,204.0,265.9,129.0,67.1,70,-1.0,6.0,0.0
Slide3-6,65,Slide,-110,215.6,238.2,117.4,94.8,-110,1.0,-2.0,10.0
T9-11-5-HE,66,ST,-110,328.8,500.0,4.2,-167.0,-110,1.0,-6.0,10.0
Slide3-7,67,Slide,-95,196.2,249.0,136.8,84.0,-95,1.0,-10.0,-2.0
Slide3-8,69,Slide,82,210.6,252.3,122.4,80.7,82,-1.0,-2.0,8.0
T9-11-6-HE,71,ST,-90,363.5,541.8,-30.5,-208.8,-90,-1.0,4.0,2.0
Slide3-9,73,Slide,75,250.3,263.3,82.7,69.7,75,3.0,-10.0,10.0
Slide3-10,75,Slide,75,264.5,232.5,68.5,100.5,75,-1.0,-2.0,10.0
T9-11-7-HE,77,ST,60,613.0,488.3,-280.0,-155.3,60,1.0,-10.0,-8.0
Slide4-1,79,Slide,68,242.7,238.2,90.3,94.8,68,1.0,-6.0,0.0
Slide4-2,81,Slide,-113,257.5,244.5,75.5,88.5,-113,-1.0,-4.0,-8.0
T9-11-8-HE,83,ST,-100,405.0,517.5,-72.0,-184.5,-100,1.0,-6.0,-10.0
Slide4-3,85,Slide,-123,250.5,275.5,82.5,57.5,-123,-1.0,6.0,-6.0
Slide4-4,87,Slide,-113,266.7,253.8,66.3,79.2,-113,1.0,2.0,-4.0
T9-11-9-HE,89,ST,-105,484.8,557.8,-151.8,-224.8,-105,1.0,-6.0,10.0
Slide4-5,91,Slide,-98,241.0,310.0,92.0,23.0,-98,-3.0,4.0,2.0
Slide4-6,93,Slide,65,246.5,299.5,86.5,33.5,65,-1.0,8.0,-6.0
T9-7-1-HE,95,ST,-103,413.0,534.5,-80.0,-201.5,-103,1.0,2.0,-4.0
Slide4-7,97,Slide,-115,247.3,249.0,85.7,84.0,-115,-1.0,8.0,-10.0
Slide4-8,99,Slide,-120,238.5,243.5,94.5,89.5,-120,1.0,2.0,-2.0
T9-7-2-HE,101,ST,70,472.5,552.0,-139.5,-219.0,70,-1.0,8.0,-6.0
Slide4-9,103,Slide,70,225.4,242.9,107.6,90.1,70,3.0,-10.0,-8.0
Slide4-10,105,Slide,-110,256.1,247.8,76.9,85.2,-110,-1.0,-4.0,4.0
T9-7-3-HE,107,ST,75,542.0,560.2,-209.0,-227.2,75,-1.0,0.0,8.0
Slide5-1,109,Slide,90,241.5,251.1,91.5,81.9,90,-1.0,6.0,-2.0
Slide5-2,111,Slide,70,249.4,241.9,83.6,91.1,70,1.0,0.0,2.0
T9-7-4-HE,113,ST,-90,431.5,532.0,-98.5,-199.0,-90,-1.0,6.0,0.0
Slide5-3,115,Slide,80,233.0,245.6,100.0,87.4,80,3.0,-8.0,-4.0
Slide5-4,117,Slide,-95,268.2,245.7,64.8,87.3,-95,1.0,-10.0,-2.0
T9-7-5-HE,119,ST,90,462.6,424.6,-129.6,-91.6,90,-1.0,-4.0,10.0
Slide5-5,121,Slide,-98,235.4,316.3,97.6,16.7,-98,-1.0,-4.0,8.0
Slide5-6,123,Slide,70,261.5,316.2,71.5,16.8,70,-1.0,4.0,4.0
T9-7-6-HE,125,ST,-125,364.0,511.5,-31.0,-178.5,-125,1.0,2.0,10.0
Slide5-7,127,Slide,70,270.5,312.5,62.5,20.5,70,-1.0,8.0,10.0
Slide5-8,129,Slide,90,269.6,317.3,63.4,15.7,90,-1.0,8.0,4.0
T9-7-8-HE,132,ST,-115,393.0,504.5,-60.0,-171.5,-115,-1.0,6.0,-2.0
Slide5-9,134,Slide,90,253.0,317.0,80.0,16.0,90,1.0,6.0,-4.0
Slide5-10,136,Slide,70,264.6,322.8,68.4,10.2,70,1.0,4.0,-4.0
T9-7-9-HE,138,ST,-90,354.7,508.0,-21.7,-175.0,-90,1.0,-6.0,-6.0
Slide6-1,140,Slide,-95,224.7,250.8,108.3,82.2,-95,-1.0,0.0,8.0
Slide6-2,142,Slide,83,261.0,308.0,72.0,25.0,83,-1.0,2.0,-2.0
T9-8-1-HE,144,ST,80,520.9,524.3,-187.9,-191.3,80,1.0,-4.0,10.0
Slide6-3,146,Slide,-103,221.2,304.4,111.8,28.6,-103,-1.0,0.0,8.0
Slide6-4,148,Slide,90,265.6,309.6,67.4,23.4,90,-1.0,8.0,-10.0
T9-8-2-HE,150,ST,62,532.3,576.0,-199.3,-243.0,62,1.0,0.0,2.0
Slide6-5,152,Slide,-100,227.4,311.2,105.6,21.8,-100,1.0,-2.0,2.0
Slide6-6,154,Slide,-98,220.1,313.0,112.9,20.0,-98,1.0,-10.0,4.0
T9-8-3-HE,156,ST,-35,412.3,527.4,-79.3,-194.4,-35,-3.0,6.0,-2.0
Slide6-7,158,Slide,-111,223.5,310.3,109.5,22.7,-111,-1.0,8.0,-10.0
Slide6-8,160,Slide,-109,224.3,305.0,108.7,28.0,-109,1.0,2.0,-10.0
T9-8-4-HE,162,ST,75,600.1,495.1,-267.1,-162.1,75,1.0,0.0,-4.0
Slide6-9,164,Slide,-105,228.4,312.1,104.6,20.9,-105,-1.0,-2.0,-8.0
Slide6-10,166,Slide,67,349.5,310.7,-16.5,22.3,67,1.0,-6.0,6.0
T9-8-5-HE,168,ST,-90,374.4,504.1,-41.4,-171.1,-90,-1.0,-2.0,6.0
Slide7-1,170,Slide,85,265.4,312.9,67.6,20.1,85,-1.0,2.0,-10.0
Slide7-2,172,Slide,65,279.2,316.5,53.8,16.5,65,1.0,-4.0,4.0
T9-8-6-HE,174,ST,-105,375.2,501.9,-42.2,-168.9,-105,-1.0,0.0,-8.0
Slide7-3,176,Slide,-93,276.1,302.1,56.9,30.9,-93,1.0,-6.0,4.0
Slide7-4,178,Slide,-105,272.0,304.5,61.0,28.5,-105,-1.0,-2.0,-10.0
T9-8-7-HE,180,ST,-105,413.1,362.9,-80.1,-29.9,-105,-1.0,4.0,-10.0
Slide7-5,182,Slide,-115,285.6,316.2,47.4,16.8,-115,1.0,0.0,-4.0
Slide7-6,184,Slide,78,279.2,316.7,53.8,16.3,78,1.0,-4.0,2.0
T9-8-8-HE,186,ST,-105,355.9,465.9,-22.9,-132.9,-105,1.0,-4.0,2.0
Slide7-7,189,Slide,-115,225.2,302.1,107.8,30.9,-115,-1.0,-10.0,2.0
Slide7-8,192,Slide,-90,240.0,310.8,93.0,22.2,-90,1.0,-10.0,-4.0
T9-8-9-HE,194,ST,90,543.7,426.4,-210.7,-93.4,90,-1.0,6.0,-2.0
